name,size,price,currency
KALHÙA,4CL,8.00,EUR
COINTREAU,4CL,8.00,EUR
GRAND MARNIER,4CL,8.00,EUR
GET 27,4CL,8.00,EUR
GET 31,4CL,8.00,EUR
GÉNÉPI,4CL,8.00,EUR
AMARETTO,4CL,8.00,EUR
BAILEY'S,4CL,8.00,EUR
PELFORTH,25CL,4.00,EUR
PELFORTH,50CL,8.00,EUR
IPA SESSION,25CL,4.00,EUR
IPA SESSION,50CL,8.00,EUR
BIÈRE DU MOMENT,25CL,4.50,EUR
BIÈRE DU MOMENT,50CL,8.50,EUR
DESPERADOS,33CL,6.00,EUR
EDELWEISS,33CL,6.00,EUR
CORONA,33CL,6.00,EUR
MAGNERS,33CL,8.00,EUR
CHOUFFE,33CL,8.00,EUR
DUVEL,33CL,8.00,EUR
GUINNESS,33CL,8.00,EUR
HEINEKEN 0 (SANS ALCOOL),25CL,5.00,EUR
GORDON'S,,9.00,EUR
BEEFEATER 24,,10.00,EUR
BOMBAY SAPPHIRE,,10.00,EUR
TANQUERAY,,10.00,EUR
HENDRICK'S,,12.00,EUR
MONKEY 47,,16.00,EUR
WHISKY JB,4CL,4.00,EUR
WHISKY JB,9CL,9.00,EUR
WHISKY JB,BOTTLE,90.00,EUR
VODKA SMIRNOFF,4CL,4.00,EUR
VODKA SMIRNOFF,9CL,9.00,EUR
VODKA SMIRNOFF,BOTTLE,90.00,EUR
TEQUILA CAMINO,4CL,4.00,EUR
TEQUILA CAMINO,9CL,9.00,EUR
TEQUILA CAMINO,BOTTLE,90.00,EUR
RHUM BACARDI,4CL,4.00,EUR
RHUM BACARDI,9CL,9.00,EUR
RHUM BACARDI,BOTTLE,90.00,EUR
GORDON'S ALCOOL,4CL,4.00,EUR
GORDON'S ALCOOL,9CL,9.00,EUR
GORDON'S ALCOOL,BOTTLE,90.00,EUR
MALIBU,4CL,4.00,EUR
MALIBU,9CL,9.00,EUR
